271.866, 132.577, 8.352,  9.857 False
271.588, 132.557, 8.351,  9.890 False
271.311, 132.537, 8.351,  9.923 False
271.033, 132.516, 8.351,  9.956 False
270.756, 132.495, 8.351,  9.989 False
270.478, 132.472, 8.350, 10.022 False
270.201, 132.449, 8.350, 10.055 False
269.924, 132.425, 8.350, 10.088 False
269.647, 132.400, 8.350, 10.121 False
269.370, 132.374, 8.350, 10.154 False
269.092, 132.347, 8.349, 10.187 False
268.815, 132.321, 8.349, 10.220 False
268.538, 132.295, 8.349, 10.253 False
268.261, 132.268, 8.349, 10.286 False
267.984, 132.241, 8.348, 10.319 False
267.708, 132.213, 8.348, 10.352 False
267.431, 132.184, 8.347, 10.385 False
267.154, 132.155, 8.347, 10.418 False
266.878, 132.126, 8.347, 10.451 False
266.601, 132.096, 8.347, 10.484 False
266.324, 132.065, 8.346, 10.517 False
266.048, 132.035, 8.346, 10.550 False
265.771, 132.005, 8.346, 10.583 False
265.495, 131.974, 8.346, 10.616 False
265.218, 131.944, 8.346, 10.649 False
264.942, 131.913, 8.346, 10.682 False
264.665, 131.882, 8.345, 10.715 False
264.389, 131.852, 8.345, 10.748 False
264.112, 131.821, 8.345, 10.781 False
263.836, 131.789, 8.344, 10.814 False
263.560, 131.757, 8.344, 10.847 False
263.283, 131.725, 8.344, 10.880 False
263.007, 131.693, 8.344, 10.913 False
262.731, 131.661, 8.343, 10.946 False
262.455, 131.629, 8.343, 10.979 False
262.178, 131.598, 8.343, 11.012 False
261.902, 131.566, 8.343, 11.045 False
261.626, 131.534, 8.343, 11.078 False
261.350, 131.501, 8.342, 11.111 False
261.073, 131.469, 8.342, 11.144 False
260.797, 131.437, 8.342, 11.177 False
260.521, 131.405, 8.342, 11.210 False
260.245, 131.373, 8.341, 11.243 False
259.969, 131.341, 8.341, 11.276 False
259.693, 131.308, 8.341, 11.309 False
259.416, 131.276, 8.341, 11.342 False
259.140, 131.244, 8.341, 11.375 False
258.864, 131.212, 8.340, 11.408 False
258.588, 131.180, 8.340, 11.441 False
258.312, 131.148, 8.340, 11.474 False
258.036, 131.115, 8.340, 11.507 False
257.760, 131.083, 8.340, 11.540 False
257.483, 131.051, 8.340, 11.573 False
257.207, 131.019, 8.339, 11.606 False
256.931, 130.987, 8.339, 11.639 False
256.655, 130.956, 8.339, 11.672 False
256.379, 130.924, 8.339, 11.705 False
256.103, 130.892, 8.339, 11.738 False
255.827, 130.860, 8.339, 11.771 False
255.550, 130.829, 8.339, 11.804 False
255.274, 130.797, 8.338, 11.837 False
254.998, 130.766, 8.338, 11.870 False
254.722, 130.734, 8.338, 11.903 False
254.446, 130.703, 8.338, 11.936 False
254.170, 130.672, 8.338, 11.969 False
253.893, 130.641, 8.338, 12.002 False
253.617, 130.610, 8.338, 12.035 False
253.341, 130.580, 8.337, 12.068 False
253.065, 130.549, 8.337, 12.101 False
252.789, 130.519, 8.337, 12.134 False
252.512, 130.489, 8.337, 12.167 False
252.236, 130.458, 8.337, 12.200 False
251.960, 130.428, 8.337, 12.233 False
251.683, 130.398, 8.337, 12.266 False
251.407, 130.369, 8.337, 12.299 False
251.131, 130.340, 8.337, 12.332 False
250.854, 130.310, 8.337, 12.365 False
250.578, 130.281, 8.337, 12.398 False
250.302, 130.252, 8.336, 12.431 False
250.025, 130.223, 8.336, 12.464 False
249.749, 130.195, 8.336, 12.497 False
249.473, 130.166, 8.336, 12.530 False
249.196, 130.138, 8.336, 12.563 False
248.920, 130.109, 8.336, 12.596 False
248.643, 130.081, 8.336, 12.629 False
248.367, 130.054, 8.336, 12.662 False
248.090, 130.026, 8.336, 12.695 False
247.814, 129.999, 8.336, 12.728 False
247.537, 129.972, 8.336, 12.761 False
247.261, 129.945, 8.336, 12.794 False
246.984, 129.918, 8.336, 12.827 False
246.708, 129.891, 8.336, 12.860 False
246.431, 129.865, 8.335, 12.893 False
246.154, 129.839, 8.335, 12.926 False
245.878, 129.814, 8.335, 12.959 False
245.601, 129.788, 8.335, 12.992 False
245.324, 129.762, 8.335, 13.025 False
245.048, 129.737, 8.335, 13.058 False
244.771, 129.712, 8.335, 13.091 False
244.494, 129.688, 8.335, 13.124 False
244.217, 129.663, 8.335, 13.157 False
243.941, 129.639, 8.335, 13.190 False
243.664, 129.616, 8.335, 13.223 False
243.387, 129.592, 8.335, 13.256 False
243.110, 129.568, 8.335, 13.289 False
242.833, 129.545, 8.335, 13.322 False
242.556, 129.522, 8.335, 13.355 False
242.280, 129.499, 8.335, 13.388 False
242.003, 129.476, 8.335, 13.421 False
241.726, 129.454, 8.335, 13.454 False
241.449, 129.432, 8.335, 13.487 False
241.172, 129.410, 8.334, 13.520 False
240.895, 129.388, 8.334, 13.553 False
240.618, 129.367, 8.334, 13.586 False
240.341, 129.346, 8.334, 13.619 False
240.064, 129.326, 8.334, 13.652 False
239.787, 129.306, 8.334, 13.685 False
239.510, 129.285, 8.334, 13.718 False
239.233, 129.265, 8.334, 13.751 False
238.955, 129.246, 8.334, 13.784 False
238.678, 129.226, 8.334, 13.817 False
238.401, 129.207, 8.334, 13.850 False
238.124, 129.188, 8.334, 13.883 False
237.847, 129.170, 8.334, 13.916 False
237.570, 129.152, 8.334, 13.949 False
237.292, 129.134, 8.334, 13.982 False
237.015, 129.116, 8.334, 14.015 False
236.738, 129.098, 8.334, 14.048 False
236.461, 129.081, 8.334, 14.081 False
236.183, 129.064, 8.334, 14.114 False
235.906, 129.047, 8.334, 14.147 False
235.629, 129.031, 8.334, 14.180 False
235.351, 129.014, 8.334, 14.213 False
235.074, 128.999, 8.334, 14.246 False
234.797, 128.984, 8.333, 14.279 False
234.519, 128.969, 8.334, 14.312 False
234.242, 128.954, 8.334, 14.345 False
233.964, 128.940, 8.334, 14.378 False
233.687, 128.926, 8.334, 14.411 False
233.410, 128.911, 8.334, 14.444 False
233.132, 128.897, 8.334, 14.477 False
232.855, 128.884, 8.334, 14.510 False
232.577, 128.870, 8.334, 14.543 False
232.300, 128.858, 8.334, 14.576 False
232.022, 128.845, 8.334, 14.609 False
231.745, 128.833, 8.333, 14.642 False
231.467, 128.821, 8.333, 14.675 False
231.190, 128.809, 8.334, 14.708 False
230.912, 128.798, 8.334, 14.741 False
230.635, 128.786, 8.334, 14.774 False
230.357, 128.775, 8.334, 14.807 False
230.079, 128.764, 8.333, 14.840 False
229.802, 128.754, 8.334, 14.873 False
229.524, 128.743, 8.334, 14.906 False
229.247, 128.734, 8.333, 14.939 False
228.969, 128.724, 8.333, 14.972 False
228.691, 128.715, 8.333, 15.005 False
228.414, 128.706, 8.333, 15.038 False
228.136, 128.697, 8.333, 15.071 False
227.858, 128.689, 8.333, 15.104 False
227.581, 128.681, 8.333, 15.137 False
227.303, 128.673, 8.334, 15.170 False
227.025, 128.665, 8.334, 15.203 False
226.748, 128.657, 8.334, 15.236 False
226.470, 128.650, 8.333, 15.269 False
226.192, 128.643, 8.333, 15.302 False
225.915, 128.636, 8.333, 15.335 False
225.637, 128.629, 8.333, 15.368 False
225.359, 128.623, 8.333, 15.401 False
225.081, 128.616, 8.333, 15.434 False
224.804, 128.610, 8.333, 15.467 False
224.526, 128.604, 8.333, 15.500 False
224.248, 128.598, 8.333, 15.533 False
223.971, 128.592, 8.333, 15.566 False
223.693, 128.587, 8.333, 15.599 False
223.415, 128.582, 8.333, 15.632 False
223.137, 128.577, 8.333, 15.665 False
222.860, 128.572, 8.333, 15.698 False
222.582, 128.568, 8.333, 15.731 False
222.304, 128.564, 8.333, 15.764 False
222.026, 128.560, 8.333, 15.797 False
221.749, 128.556, 8.333, 15.830 False
221.471, 128.552, 8.333, 15.863 False
221.193, 128.549, 8.333, 15.896 False
220.915, 128.546, 8.333, 15.929 False
220.638, 128.543, 8.333, 15.962 False
220.360, 128.540, 8.333, 15.995 False
220.082, 128.538, 8.333, 16.028 False
219.804, 128.535, 8.333, 16.061 False
219.527, 128.533, 8.333, 16.094 False
219.249, 128.531, 8.333, 16.127 False
218.971, 128.529, 8.333, 16.160 False
218.693, 128.527, 8.333, 16.193 False
218.415, 128.526, 8.333, 16.226 False
218.138, 128.524, 8.333, 16.259 False
217.860, 128.523, 8.333, 16.292 False
217.582, 128.522, 8.333, 16.325 False
217.304, 128.521, 8.333, 16.358 False
217.027, 128.521, 8.333, 16.391 False
216.749, 128.520, 8.333, 16.424 False
216.471, 128.519, 8.333, 16.457 False
216.193, 128.519, 8.333, 16.490 False
215.915, 128.520, 8.333, 16.523 False
215.638, 128.520, 8.333, 16.556 False
215.360, 128.521, 8.333, 16.589 False
215.082, 128.521, 8.333, 16.622 False
214.804, 128.522, 8.333, 16.655 False
214.527, 128.523, 8.333, 16.688 False
214.249, 128.524, 8.333, 16.721 False
213.971, 128.525, 8.333, 16.754 False
